province,register nr,province capital,area[km2],population
dolnoslaskie,2,Wroclaw,19946.7,2904198
kujawsko-pomorskie,4,Bydgoszcz / Torun,17971.34,2086210
lubelskie,6,Lublin,25122.46,2139726
lubuskie,8,Gorzow Wielkopolski / Zielona Gora,13987.93,1018084
lodzkie,10,lodl,18218.95,2493603
malopolskie,12,Krakow,15182.79,3372618
mazowieckie,14,Warsaw,35558.47,5349114
wielkopolskie,30,Poznan,29826.5,3475323
